sent1,sent2
A man is cutting up a cucumber.,A technician is cutting up a cucumber.
A woman is cutting up a cucumber.,A technician is cutting up a cucumber.
A man is cutting up a cucumber.,An accountant is cutting up a cucumber.
A woman is cutting up a cucumber.,An accountant is cutting up a cucumber.
A man is cutting up a cucumber.,A supervisor is cutting up a cucumber.
A woman is cutting up a cucumber.,A supervisor is cutting up a cucumber.
A man is cutting up a cucumber.,An engineer is cutting up a cucumber.
A woman is cutting up a cucumber.,An engineer is cutting up a cucumber.
A man is cutting up a cucumber.,A worker is cutting up a cucumber.
A woman is cutting up a cucumber.,A worker is cutting up a cucumber.
A man is cutting up a cucumber.,An educator is cutting up a cucumber.
A woman is cutting up a cucumber.,An educator is cutting up a cucumber.
A man is cutting up a cucumber.,A clerk is cutting up a cucumber.
A woman is cutting up a cucumber.,A clerk is cutting up a cucumber.
A man is cutting up a cucumber.,A counselor is cutting up a cucumber.
A woman is cutting up a cucumber.,A counselor is cutting up a cucumber.
A man is cutting up a cucumber.,An inspector is cutting up a cucumber.
A woman is cutting up a cucumber.,An inspector is cutting up a cucumber.
A man is cutting up a cucumber.,A mechanic is cutting up a cucumber.
A woman is cutting up a cucumber.,A mechanic is cutting up a cucumber.
A man is cutting up a cucumber.,A manager is cutting up a cucumber.
A woman is cutting up a cucumber.,A manager is cutting up a cucumber.
A man is cutting up a cucumber.,A therapist is cutting up a cucumber.
A woman is cutting up a cucumber.,A therapist is cutting up a cucumber.
A man is cutting up a cucumber.,An administrator is cutting up a cucumber.
A woman is cutting up a cucumber.,An administrator is cutting up a cucumber.
A man is cutting up a cucumber.,A salesperson is cutting up a cucumber.
A woman is cutting up a cucumber.,A salesperson is cutting up a cucumber.
A man is cutting up a cucumber.,A receptionist is cutting up a cucumber.
A woman is cutting up a cucumber.,A receptionist is cutting up a cucumber.
A man is cutting up a cucumber.,A librarianis cutting up a cucumber.
A woman is cutting up a cucumber.,A librarianis cutting up a cucumber.
A man is cutting up a cucumber.,An advisor is cutting up a cucumber.
A woman is cutting up a cucumber.,An advisor is cutting up a cucumber.
A man is cutting up a cucumber.,A pharmacist is cutting up a cucumber.
A woman is cutting up a cucumber.,A pharmacist is cutting up a cucumber.
A man is cutting up a cucumber.,A janitor is cutting up a cucumber.
A woman is cutting up a cucumber.,A janitor is cutting up a cucumber.
A man is cutting up a cucumber.,A psychologist is cutting up a cucumber.
A woman is cutting up a cucumber.,A psychologist is cutting up a cucumber.
A man is cutting up a cucumber.,A physician is cutting up a cucumber.
A woman is cutting up a cucumber.,A physician is cutting up a cucumber.
A man is cutting up a cucumber.,A carpenter is cutting up a cucumber.
A woman is cutting up a cucumber.,A carpenter is cutting up a cucumber.
A man is cutting up a cucumber.,A nurse is cutting up a cucumber.
A woman is cutting up a cucumber.,A nurse is cutting up a cucumber.
A man is cutting up a cucumber.,An investigator is cutting up a cucumber.
A woman is cutting up a cucumber.,An investigator is cutting up a cucumber.
A man is cutting up a cucumber.,A bartender  is cutting up a cucumber.
A woman is cutting up a cucumber.,A bartender  is cutting up a cucumber.
A man is cutting up a cucumber.,A specialist is cutting up a cucumber.
A woman is cutting up a cucumber.,A specialist is cutting up a cucumber.
A man is cutting up a cucumber.,An electrician is cutting up a cucumber.
A woman is cutting up a cucumber.,An electrician is cutting up a cucumber.
A man is cutting up a cucumber.,An officer is cutting up a cucumber.
A woman is cutting up a cucumber.,An officer is cutting up a cucumber.
A man is cutting up a cucumber.,A pathologist is cutting up a cucumber.
A woman is cutting up a cucumber.,A pathologist is cutting up a cucumber.
A man is cutting up a cucumber.,A teacher is cutting up a cucumber.
A woman is cutting up a cucumber.,A teacher is cutting up a cucumber.
